1	70	53	2
2	76	50	0
3	83	94	2
4	16	94	2
5	3	16	1
6	60	47	2
7	97	5	2
8	54	95	2
9	29	93	2
10	95	10	0
11	57	26	1
12	97	73	2
13	27	4	1
14	77	24	1
15	19	2	2
16	60	4	0
17	24	12	0
18	26	27	0
19	55	57	1
20	34	15	0
21	74	87	1
22	52	10	1
23	22	34	0
24	91	60	1
25	32	10	2
26	97	84	0
27	22	98	1
28	10	89	1
29	34	93	0
30	5	100	2
31	30	65	2
32	99	43	2
33	52	99	1
34	101	44	2
35	100	38	0
36	31	42	1
37	57	76	1
38	81	101	2
39	91	76	2
40	43	6	0
41	15	71	0
42	42	34	1
43	48	11	1
44	55	22	0
45	21	34	0
46	79	27	2
47	15	97	0
48	5	27	1
49	53	92	1
50	72	56	2
51	44	58	1
52	82	23	0
53	28	10	1
54	59	77	2
55	88	97	2
56	23	41	2
57	20	65	2
58	9	38	0
59	64	52	0
60	50	39	0
61	73	33	0
62	26	83	1
63	47	91	1
64	42	7	1
65	13	45	1
66	71	22	0
67	64	81	0
68	52	29	1
69	87	74	2
70	4	74	0
71	15	102	2
72	75	85	2
73	90	51	1
74	89	63	2
75	24	26	1
76	71	13	1
77	91	61	1
78	36	67	0
79	21	37	0
80	48	66	0
81	4	98	1
82	2	7	0
83	53	32	0
84	90	99	0
85	58	102	0
86	76	57	0
87	10	64	1
88	22	11	2
89	88	9	2
90	27	85	0
91	52	24	0
92	64	52	0
93	70	21	0
94	62	32	0
95	3	43	1
96	19	25	2
97	39	49	1
98	3	4	1
99	15	47	1
100	61	54	0
101	67	84	2
102	12	74	2
103	58	10	2
104	56	28	2
105	62	29	0
106	95	34	0
107	41	58	0
108	71	62	1
109	63	73	1
110	75	45	2
111	1	48	2
112	38	38	0
113	94	14	0
114	23	49	1
115	16	86	0
116	45	43	1
117	45	11	0
118	49	22	2
119	78	103	0
120	71	8	1
121	1	44	1
122	34	67	0
123	51	71	2
124	84	93	0
125	73	75	2
126	60	78	2
127	14	70	2
128	90	46	1
129	14	70	2
130	21	57	0
131	1	16	0
132	71	62	0
133	97	101	0
134	7	91	0
135	52	7	2
136	99	6	2
137	5	88	1
138	31	48	2
139	7	87	1
140	26	95	0
141	5	52	0
142	3	78	2
143	87	17	0
144	1	93	0
145	46	92	2
146	62	10	0
147	20	64	0
148	66	9	1
149	76	74	0
150	47	84	1
151	60	37	0
152	77	44	2
153	36	10	1
154	86	75	2
155	90	7	0
156	12	80	2
157	104	97	2
158	52	26	0
159	77	87	1
160	55	79	2
161	93	66	2
162	53	93	1
163	48	15	0
164	5	18	2
165	92	75	0
166	49	22	2
167	59	26	2
168	14	59	0
169	50	2	2
170	8	88	1
171	5	79	0
172	58	58	2
173	1	66	2
174	89	9	1
175	3	31	2
176	70	23	1
177	43	100	0
178	16	23	1
179	1	31	0
180	99	98	1
181	78	97	1
182	48	0	0
183	20	28	1
184	95	70	2
185	66	58	1
186	8	81	2
187	21	80	1
188	1	36	1
189	60	20	1
190	22	62	1
191	56	88	2
192	88	31	0
193	11	97	1
194	102	94	1
195	76	32	2
196	73	25	1
197	40	49	2
198	97	4	0
199	33	31	0
200	17	32	0
201	55	97	1
202	75	6	2
203	36	22	0
204	23	42	1
205	3	40	0
206	100	26	1
207	35	38	0
208	23	35	2
209	44	62	0
210	66	24	1
211	87	40	1
212	53	21	2
213	42	9	0
214	38	66	0
215	49	73	0
216	21	13	1
217	13	101	2
218	19	62	0
219	92	20	1
220	14	5	0
221	85	13	1
222	12	39	1
223	102	22	1
224	17	78	1
225	58	71	2
226	42	72	2
227	75	3	1
228	15	42	1
229	42	50	1
230	69	29	1
231	51	96	0
232	52	67	0
233	71	33	1
234	59	103	1
235	6	75	2
236	38	48	0
237	8	8	1
238	4	34	0
239	2	65	2
240	22	33	2
241	29	90	1
242	23	12	1
243	75	85	0
244	102	40	2
245	42	87	1
246	22	87	0
247	85	24	1
248	29	17	0
249	15	91	2
250	31	66	2
251	76	16	1
252	0	69	1
253	74	62	2
254	71	80	1
255	89	75	2
256	79	23	2
257	55	19	2
258	99	74	2
259	34	82	0
260	64	51	2
261	28	41	0
262	52	63	0
263	50	84	2
264	1	92	1
265	104	44	2
266	9	38	0
267	35	94	2
268	10	9	0
269	57	56	1
270	99	82	0
271	18	42	0
